Gemeente,NIS5
Aartselaar,11001
Antwerpen,11002
Boechout,11004
Boom,11005
Borsbeek,11007
Brasschaat,11008
Brecht,11009
Edegem,11013
Essen,11016
Hemiksem,11018
Hove,11021
Kalmthout,11022
Kapellen,11023
Kontich,11024
Lint,11025
Mortsel,11029
Niel,11030
Ranst,11035
Rumst,11037
Schelle,11038
Schilde,11039
Schoten,11040
Stabroek,11044
Wijnegem,11050
Wommelgem,11052
Wuustwezel,11053
Zandhoven,11054
Zoersel,11055
Zwijndrecht,11056
Malle,11057
Berlaar,12002
Bonheiden,12005
Bornem,12007
Duffel,12009
Heist-op-den-Berg,12014
Lier,12021
Mechelen,12025
Nijlen,12026
Putte,12029
Sint-Katelijne-Waver,12035
Willebroek,12040
Puurs-Sint-Amands,12041
Arendonk,13001
Baarle-Hertog,13002
Balen,13003
Beerse,13004
Dessel,13006
Geel,13008
Grobbendonk,13010
Herentals,13011
Herenthout,13012
Herselt,13013
Hoogstraten,13014
Hulshout,13016
Kasterlee,13017
Lille,13019
Meerhout,13021
Merksplas,13023
Mol,13025
Olen,13029
Oud-Turnhout,13031
Ravels,13035
Retie,13036
Rijkevorsel,13037
Turnhout,13040
Vorselaar,13044
Vosselaar,13046
Westerlo,13049
Laakdal,13053
Anderlecht,21001
Oudergem,21002
Sint-Agatha-Berchem,21003
Brussel,21004
Etterbeek,21005
Evere,21006
Vorst,21007
Ganshoren,21008
Elsene,21009
Jette,21010
Koekelberg,21011
Sint-Jans-Molenbeek,21012
Sint-Gillis,21013
Sint-Joost-ten-Node,21014
Schaarbeek,21015
Ukkel,21016
Watermaal-Bosvoorde,21017
Sint-Lambrechts-Woluwe,21018
Sint-Pieters-Woluwe,21019
Asse,23002
Beersel,23003
Dilbeek,23016
Galmaarden,23023
Gooik,23024
Grimbergen,23025
Halle,23027
Herne,23032
Hoeilaart,23033
Kampenhout,23038
Kapelle-op-den-Bos,23039
Liedekerke,23044
Londerzeel,23045
Machelen,23047
Meise,23050
Merchtem,23052
Opwijk,23060
Overijse,23062
Pepingen,23064
Sint-Pieters-Leeuw,23077
Steenokkerzeel,23081
Ternat,23086
Vilvoorde,23088
Zaventem,23094
Zemst,23096
Roosdaal,23097
Drogenbos,23098
Kraainem,23099
Linkebeek,23100
Sint-Genesius-Rode,23101
Wemmel,23102
Wezembeek-Oppem,23103
Lennik,23104
Affligem,23105
Aarschot,24001
Begijnendijk,24007
Bekkevoort,24008
Bertem,24009
Bierbeek,24011
Boortmeerbeek,24014
Boutersem,24016
Diest,24020
Geetbets,24028
Haacht,24033
Herent,24038
Hoegaarden,24041
Holsbeek,24043
Huldenberg,24045
Keerbergen,24048
Kortenaken,24054
Kortenberg,24055
Landen,24059
Leuven,24062
Lubbeek,24066
Oud-Heverlee,24086
Rotselaar,24094
Tervuren,24104
Tienen,24107
Tremelo,24109
Zoutleeuw,24130
Linter,24133
Scherpenheuvel-Zichem,24134
Tielt-Winge,24135
Glabbeek,24137
Bevekom,25005
Eigenbrakel,25014
Kasteelbrakel,25015
Chaumont-Gistoux,25018
Court-Saint-Etienne,25023
Genepiën,25031
Grez-Doiceau,25037
Incourt,25043
Itter,25044
Geldenaken,25048
Terhulpen,25050
Mont-Saint-Guibert,25068
Nijvel,25072
Perwijs,25084
Rixensart,25091
Tubeke,25105
Villers-la-Ville,25107
Waterloo,25110
Waver,25112
Chastre,25117
Hélécine,25118
Lasne,25119
Orp-Jauche,25120
Ottignies-Louvain-la-Neuve,25121
Ramillies,25122
Rebecq,25123
Walhain,25124
Beernem,31003
Blankenberge,31004
Brugge,31005
Damme,31006
Jabbeke,31012
Oostkamp,31022
Torhout,31033
Zedelgem,31040
Knokke-Heist,31043
Diksmuide,32003
Houthulst,32006
Koekelare,32010
Kortemark,32011
Lo-Reninge,32030
Ieper,33011
Mesen,33016
Poperinge,33021
Wervik,33029
Zonnebeke,33037
Heuvelland,33039
Langemark-Poelkapelle,33040
Vleteren,33041
Anzegem,34002
Avelgem,34003
Deerlijk,34009
Harelbeke,34013
Kortrijk,34022
Kuurne,34023
Lendelede,34025
Menen,34027
Waregem,34040
Wevelgem,34041
Zwevegem,34042
Spiere-Helkijn,34043
Bredene,35002
Gistel,35005
Ichtegem,35006
Middelkerke,35011
Oostende,35013
Oudenburg,35014
De Haan,35029
Hooglede,36006
