Date,ICU
2021-08-22,177
2021-08-23,173
2021-08-24,171
2021-08-25,176
2021-08-26,182
2021-08-27,185
2021-08-28,194
2021-08-29,191
2021-08-30,201
2021-08-31,192
2021-09-01,193
2021-09-02,195
2021-09-03,200
2021-09-04,218
2021-09-05,229
2021-09-06,237
2021-09-07,226
2021-09-08,220
2021-09-09,217
2021-09-10,228
2021-09-11,219
2021-09-12,218
2021-09-13,224
2021-09-14,219
2021-09-15,215
2021-09-16,220
2021-09-17,213
2021-09-18,213
2021-09-19,215
2021-09-20,222
2021-09-21,214
2021-09-22,217
2021-09-23,216
2021-09-24,209
2021-09-25,196
2021-09-26,202
2021-09-27,206
2021-09-28,207
2021-09-29,217
2021-09-30,213
2021-10-01,204
2021-10-02,203
2021-10-03,197
2021-10-04,211
2021-10-05,210
2021-10-06,209
2021-10-07,195
2021-10-08,204
2021-10-09,196
2021-10-10,193
2021-10-11,197
2021-10-12,201
2021-10-13,201
2021-10-14,193
2021-10-15,190
2021-10-16,202
2021-10-17,209
2021-10-18,232
2021-10-19,230
2021-10-20,240
2021-10-21,232
2021-10-22,251
2021-10-23,246
2021-10-24,256
2021-10-25,264
2021-10-26,260
2021-10-27,256
2021-10-28,257
2021-10-29,275
2021-10-30,298
2021-10-31,305
2021-11-01,324
2021-11-02,337
2021-11-03,343
2021-11-04,363
2021-11-05,384
2021-11-06,379
2021-11-07,391
2021-11-08,418
2021-11-09,434
2021-11-10,451
2021-11-11,471
2021-11-12,487
2021-11-13,489
2021-11-14,517
2021-11-15,540
2021-11-16,557
2021-11-17,568
2021-11-18,577
2021-11-19,603
2021-11-20,618
2021-11-21,632
2021-11-22,654
2021-11-23,655
2021-11-24,659
2021-11-25,669
2021-11-26,682
2021-11-27,696
2021-11-28,722
2021-11-29,760
2021-11-30,780
2021-12-01,793
2021-12-02,821
2021-12-03,804
2021-12-04,804
2021-12-05,809
2021-12-06,817
2021-12-07,815
2021-12-08,825
2021-12-09,827
2021-12-10,838
2021-12-11,839
2021-12-12,827
2021-12-13,838
2021-12-14,815
2021-12-15,804
2021-12-16,789
2021-12-17,761
2021-12-18,766
2021-12-19,743
2021-12-20,730
2021-12-21,709
