Datum,Testen,Positieve testen,Positiviteitsratio,7-daags gemiddelde
2020-10-01,41753,3805,9.11,7.0
2020-10-02,41778,3865,9.25,7.0
2020-10-03,34240,2968,8.67,8.0
2020-10-04,17961,1742,9.7,8.0
2020-10-05,27391,2703,9.87,8.0
2020-10-06,45882,4665,10.17,9.0
2020-10-07,54459,5940,10.91,10.0
2020-10-08,50165,6247,12.45,10.0
2020-10-09,53751,7062,13.14,11.0
2020-10-10,47596,6203,13.03,11.0
2020-10-11,30373,4005,13.19,12.0
2020-10-12,44535,7290,16.37,13.0
2020-10-13,59536,8471,14.23,13.0
2020-10-14,72982,11632,15.94,14.0
2020-10-15,66248,10354,15.63,15.0
2020-10-16,68694,11562,16.83,15.0
2020-10-17,61899,10452,16.89,16.0
2020-10-18,44689,8357,18.7,16.0
2020-10-19,55924,10508,18.79,17.0
2020-10-20,78333,15610,19.93,18.0
2020-10-21,80815,16545,20.47,18.0
2020-10-22,79979,19651,24.57,19.0
2020-10-23,69155,18208,26.33,21.0
2020-10-24,63605,17496,27.51,22.0
2020-10-25,39465,12273,31.1,24.0
2020-10-26,50161,16057,32.01,26.0
2020-10-27,71450,21956,30.73,28.0
2020-10-28,78095,22865,29.28,29.0
2020-10-29,71919,20158,28.03,29.0
2020-10-30,66019,17723,26.85,29.0
2020-10-31,54587,13406,24.56,29.0
2020-11-01,24162,6397,26.48,28.0
2020-11-02,28928,7290,25.2,27.0
2020-11-03,54876,14897,27.15,27.0
2020-11-04,44998,11468,25.49,26.0
2020-11-05,45721,10148,22.2,25.0
2020-11-06,39364,7766,19.73,24.0
2020-11-07,32360,7014,21.67,24.0
2020-11-08,13302,2790,20.97,23.0
2020-11-09,22365,4553,20.36,23.0
2020-11-10,39203,8340,21.27,22.0
2020-11-11,31789,6197,19.49,21.0
2020-11-12,28050,5146,18.35,20.0
2020-11-13,37804,7023,18.58,20.0
2020-11-14,26469,5076,19.18,20.0
2020-11-15,13824,2579,18.66,19.0
2020-11-16,21451,3135,14.61,19.0
2020-11-17,40333,6134,15.21,18.0
2020-11-18,36628,4795,13.09,17.0
2020-11-19,35245,4369,12.4,16.0
2020-11-20,34399,3884,11.29,15.0
2020-11-21,21511,2562,11.91,14.0
2020-11-22,10728,1324,12.34,13.0
2020-11-23,22544,2381,10.56,12.0
2020-11-24,42288,4363,10.32,12.0
2020-11-25,37199,3347,9.0,11.0
2020-11-26,34180,3220,9.42,11.0
2020-11-27,33696,2840,8.43,10.0
2020-11-28,25778,2582,10.02,10.0
2020-11-29,9628,884,9.18,10.0
2020-11-30,23532,2076,8.82,9.0
2020-12-01,44351,3723,8.39,9.0
2020-12-02,36654,3168,8.64,9.0
2020-12-03,34155,3021,8.84,9.0
2020-12-04,36225,3053,8.43,9.0
2020-12-05,24748,2166,8.75,9.0
2020-12-06,10538,988,9.38,9.0
2020-12-07,26604,2122,7.98,9.0
2020-12-08,45894,3586,7.81,9.0
2020-12-09,41509,3284,7.91,8.0
2020-12-10,38198,3134,8.2,8.0
2020-12-11,38586,3060,7.93,8.0
2020-12-12,29983,2762,9.21,8.0
2020-12-13,13636,1223,8.97,8.0
2020-12-14,31457,2469,7.85,8.0
2020-12-15,52971,4248,8.02,8.0
2020-12-16,50567,3625,7.17,8.0
2020-12-17,46288,3358,7.25,8.0
2020-12-18,42279,3136,7.42,8.0
