Datum,Overlijdens,7-daags gemiddelde
2020-03-10,1,
2020-03-11,3,
2020-03-12,1,
2020-03-13,3,
2020-03-14,5,
2020-03-15,5,
2020-03-16,12,4.0
2020-03-17,10,6.0
2020-03-18,23,8.0
2020-03-19,34,13.0
2020-03-20,37,18.0
2020-03-21,40,23.0
2020-03-22,47,29.0
2020-03-23,78,38.0
2020-03-24,78,48.0
2020-03-25,107,60.0
2020-03-26,103,70.0
2020-03-27,128,83.0
2020-03-28,142,98.0
2020-03-29,149,112.0
2020-03-30,170,125.0
2020-03-31,208,144.0
2020-04-01,233,162.0
2020-04-02,219,178.0
2020-04-03,236,194.0
2020-04-04,271,212.0
2020-04-05,248,226.0
2020-04-06,256,239.0
2020-04-07,278,249.0
2020-04-08,322,261.0
2020-04-09,273,269.0
2020-04-10,301,278.0
2020-04-11,284,280.0
2020-04-12,266,283.0
2020-04-13,277,286.0
2020-04-14,261,283.0
2020-04-15,281,278.0
2020-04-16,246,274.0
2020-04-17,204,260.0
2020-04-18,208,249.0
2020-04-19,191,238.0
2020-04-20,203,228.0
2020-04-21,203,219.0
2020-04-22,181,205.0
2020-04-23,155,192.0
2020-04-24,155,185.0
2020-04-25,142,176.0
2020-04-26,153,170.0
2020-04-27,134,160.0
2020-04-28,110,147.0
2020-04-29,106,136.0
2020-04-30,88,127.0
2020-05-01,93,118.0
2020-05-02,76,109.0
2020-05-03,94,100.0
2020-05-04,93,94.0
2020-05-05,81,90.0
2020-05-06,75,86.0
2020-05-07,70,83.0
2020-05-08,74,80.0
2020-05-09,71,80.0
2020-05-10,73,77.0
2020-05-11,65,73.0
2020-05-12,45,68.0
2020-05-13,57,65.0
2020-05-14,43,61.0
2020-05-15,45,57.0
2020-05-16,29,51.0
2020-05-17,31,45.0
2020-05-18,36,41.0
2020-05-19,32,39.0
2020-05-20,30,35.0
2020-05-21,35,34.0
2020-05-22,41,33.0
2020-05-23,26,33.0
2020-05-24,34,33.0
2020-05-25,26,32.0
2020-05-26,24,31.0
2020-05-27,24,30.0
2020-05-28,27,29.0
2020-05-29,16,25.0
2020-05-30,24,25.0
2020-05-31,21,23.0
2020-06-01,21,22.0
2020-06-02,24,22.0
2020-06-03,19,22.0
2020-06-04,14,20.0
2020-06-05,12,19.0
2020-06-06,11,17.0
2020-06-07,12,16.0
2020-06-08,9,14.0
2020-06-09,12,13.0
2020-06-10,12,12.0
2020-06-11,7,11.0
2020-06-12,10,10.0
2020-06-13,5,10.0
2020-06-14,4,8.0
2020-06-15,8,8.0
2020-06-16,7,8.0
2020-06-17,7,7.0
2020-06-18,5,7.0
2020-06-19,4,6.0
2020-06-20,3,5.0
2020-06-21,9,6.0
2020-06-22,12,7.0
