Datum,Overlijdens,7-daags gemiddelde
2021-09-01,7,5.0
2021-09-02,6,5.0
2021-09-03,6,5.0
2021-09-04,10,6.0
2021-09-05,8,7.0
2021-09-06,7,7.0
2021-09-07,9,8.0
2021-09-08,9,8.0
2021-09-09,6,8.0
2021-09-10,7,8.0
2021-09-11,7,8.0
2021-09-12,7,7.0
2021-09-13,7,7.0
2021-09-14,8,7.0
2021-09-15,7,7.0
2021-09-16,1,6.0
2021-09-17,5,6.0
2021-09-18,9,6.0
2021-09-19,7,6.0
2021-09-20,6,6.0
2021-09-21,5,6.0
2021-09-22,11,6.0
2021-09-23,11,8.0
2021-09-24,7,8.0
2021-09-25,7,8.0
2021-09-26,7,8.0
2021-09-27,13,9.0
2021-09-28,7,9.0
2021-09-29,7,8.0
2021-09-30,11,8.0
2021-10-01,6,8.0
2021-10-02,8,8.0
2021-10-03,8,9.0
2021-10-04,5,7.0
2021-10-05,14,8.0
2021-10-06,13,9.0
2021-10-07,11,9.0
2021-10-08,7,9.0
2021-10-09,11,10.0
2021-10-10,4,9.0
2021-10-11,18,11.0
2021-10-12,13,11.0
2021-10-13,8,10.0
2021-10-14,10,10.0
2021-10-15,18,12.0
2021-10-16,14,12.0
2021-10-17,10,13.0
2021-10-18,19,13.0
2021-10-19,13,13.0
2021-10-20,14,14.0
2021-10-21,10,14.0
2021-10-22,18,14.0
2021-10-23,20,15.0
2021-10-24,16,16.0
2021-10-25,18,16.0
2021-10-26,27,18.0
2021-10-27,33,20.0
2021-10-28,18,21.0
2021-10-29,21,22.0
2021-10-30,16,21.0
2021-10-31,18,22.0
2021-11-01,25,23.0
2021-11-02,20,22.0
2021-11-03,17,19.0
2021-11-04,26,20.0
2021-11-05,25,21.0
2021-11-06,30,23.0
2021-11-07,15,23.0
2021-11-08,28,23.0
2021-11-09,27,24.0
2021-11-10,26,25.0
2021-11-11,32,26.0
2021-11-12,39,28.0
2021-11-13,20,27.0
2021-11-14,27,28.0
2021-11-15,46,31.0
2021-11-16,29,31.0
2021-11-17,42,34.0
2021-11-18,43,35.0
2021-11-19,33,34.0
2021-11-20,36,37.0
2021-11-21,36,38.0
2021-11-22,35,36.0
2021-11-23,38,38.0
2021-11-24,49,39.0
2021-11-25,44,39.0
2021-11-26,40,40.0
2021-11-27,48,41.0
2021-11-28,47,43.0
2021-11-29,45,44.0
2021-11-30,61,48.0
2021-12-01,43,47.0
2021-12-02,53,48.0
2021-12-03,48,49.0
2021-12-04,45,49.0
2021-12-05,57,50.0
2021-12-06,39,49.0
2021-12-07,49,48.0
2021-12-08,55,49.0
2021-12-09,35,47.0
2021-12-10,48,47.0
2021-12-11,45,47.0
2021-12-12,44,45.0
2021-12-13,43,46.0
2021-12-14,37,44.0
2021-12-15,41,42.0
2021-12-16,37,42.0
2021-12-17,26,39.0
2021-12-18,36,38.0
2021-12-19,38,37.0
2021-12-20,36,36.0
2021-12-21,36,36.0
2021-12-22,37,35.0
2021-12-23,36,35.0
2021-12-24,35,36.0
2021-12-25,20,34.0
2021-12-26,22,32.0
2021-12-27,28,31.0
2021-12-28,21,28.0
2021-12-29,34,28.0
2021-12-30,29,27.0
2021-12-31,16,24.0
2022-01-01,22,25.0
2022-01-02,15,24.0
2022-01-03,25,23.0
2022-01-04,17,23.0
2022-01-05,14,20.0
2022-01-06,19,18.0
2022-01-07,18,19.0
2022-01-08,17,18.0
2022-01-09,23,19.0
2022-01-10,25,19.0
2022-01-11,24,20.0
2022-01-12,22,21.0
2022-01-13,20,21.0
2022-01-14,17,21.0
2022-01-15,12,20.0
2022-01-16,18,20.0
