Datum,Ziekenhuisbezetting,Intensieve zorg,Niet-intensieve zorg,Nieuwe opnames
2020-03-15,263,53,210,70
2020-03-16,370,79,291,88
2020-03-17,493,100,393,125
2020-03-18,646,130,516,179
2020-03-19,840,164,676,213
2020-03-20,1108,229,879,294
2020-03-21,1384,290,1094,322
2020-03-22,1661,326,1335,278
2020-03-23,1883,385,1498,268
2020-03-24,2204,487,1717,420
2020-03-25,2721,612,2109,543
2020-03-26,3111,699,2412,494
2020-03-27,3649,789,2860,587
2020-03-28,4088,867,3221,642
2020-03-29,4536,961,3575,545
2020-03-30,4897,1021,3876,486
2020-03-31,4988,1088,3900,550
2020-04-01,5219,1144,4075,599
2020-04-02,5398,1205,4193,572
2020-04-03,5562,1256,4306,502
2020-04-04,5531,1261,4270,502
2020-04-05,5620,1267,4353,360
2020-04-06,5759,1260,4499,324
2020-04-07,5710,1276,4434,475
2020-04-08,5620,1286,4334,464
2020-04-09,5640,1279,4361,467
2020-04-10,5663,1262,4401,431
2020-04-11,5538,1251,4287,392
2020-04-12,5542,1253,4289,277
2020-04-13,5554,1226,4328,244
2020-04-14,5532,1204,4328,253
2020-04-15,5331,1182,4149,317
2020-04-16,5181,1150,4031,313
2020-04-17,5088,1119,3969,306
2020-04-18,4889,1081,3808,265
2020-04-19,4940,1071,3869,227
2020-04-20,4996,1079,3917,184
2020-04-21,4765,1020,3745,262
2020-04-22,4527,993,3534,216
2020-04-23,4353,970,3383,204
2020-04-24,4195,934,3261,221
2020-04-25,3957,901,3056,203
2020-04-26,3968,903,3065,130
2020-04-27,3976,876,3100,129
2020-04-28,3733,797,2936,165
2020-04-29,3609,769,2840,185
2020-04-30,3386,749,2637,153
2020-05-01,3109,690,2419,134
2020-05-02,3080,684,2396,82
2020-05-03,3044,655,2389,62
2020-05-04,3080,646,2434,92
2020-05-05,2868,582,2286,123
2020-05-06,2699,542,2157,101
2020-05-07,2555,508,2047,122
2020-05-08,2381,502,1879,79
2020-05-09,2222,475,1747,85
2020-05-10,2222,477,1745,62
2020-05-11,2230,465,1765,48
2020-05-12,2085,427,1658,74
2020-05-13,1966,407,1559,83
2020-05-14,1862,380,1482,66
2020-05-15,1750,364,1386,65
2020-05-16,1625,345,1280,62
2020-05-17,1614,342,1272,45
2020-05-18,1630,345,1285,52
2020-05-19,1527,313,1214,59
2020-05-20,1448,277,1171,77
2020-05-21,1388,268,1120,63
2020-05-22,1360,259,1101,37
2020-05-23,1296,256,1040,56
2020-05-24,1306,251,1055,31
2020-05-25,1304,249,1055,39
2020-05-26,1150,223,927,39
2020-05-27,1050,209,841,53
2020-05-28,939,187,752,28
2020-05-29,892,173,719,28
2020-05-30,823,168,655,42
2020-05-31,818,164,654,26
2020-06-01,821,166,655,29
2020-06-02,821,172,649,36
2020-06-03,739,145,594,22
2020-06-04,702,137,565,34
2020-06-05,647,121,526,30
2020-06-06,573,111,462,23
2020-06-07,576,116,460,24
2020-06-08,575,115,460,18
2020-06-09,527,102,425,24
2020-06-10,484,99,385,20
2020-06-11,479,89,390,33
2020-06-12,425,88,337,25
2020-06-13,395,82,313,11
2020-06-14,400,85,315,16
2020-06-15,393,75,318,12
2020-06-16,371,67,304,27
2020-06-17,344,60,284,19
2020-06-18,340,52,288,21
2020-06-19,308,50,258,21
2020-06-20,292,53,239,18
2020-06-21,295,50,245,12
2020-06-22,293,42,251,14
2020-06-23,281,41,240,12
2020-06-24,268,40,228,16
2020-06-25,256,38,218,21
2020-06-26,247,36,211,18
2020-06-27,237,34,203,16
2020-06-28,237,36,201,7
2020-06-29,244,41,203,14
2020-06-30,222,37,185,17
2020-07-01,203,36,167,9
2020-07-02,187,35,152,13
2020-07-03,168,32,136,6
2020-07-04,170,29,141,16
2020-07-05,170,30,140,7
2020-07-06,169,27,142,10
2020-07-07,178,32,146,17
2020-07-08,165,32,133,9
2020-07-09,160,36,124,11
2020-07-10,143,32,111,6
2020-07-11,132,28,104,11
2020-07-12,130,27,103,7
2020-07-13,138,23,115,9
2020-07-14,147,27,120,18
2020-07-15,150,27,123,11
2020-07-16,147,28,119,13
2020-07-17,145,28,117,11
2020-07-18,161,30,131,27
2020-07-19,168,31,137,18
2020-07-20,181,36,145,14
2020-07-21,172,33,139,8
2020-07-22,191,41,150,23
2020-07-23,203,40,163,33
2020-07-24,218,41,177,34
2020-07-25,210,44,166,26
2020-07-26,211,47,164,15
2020-07-27,222,52,170,28
2020-07-28,232,49,183,41
2020-07-29,263,47,216,35
2020-07-30,267,42,225,30
2020-07-31,253,48,205,19
2020-08-01,259,56,203,29
2020-08-02,271,58,213,29
2020-08-03,290,54,236,29
2020-08-04,265,63,202,20
2020-08-05,293,61,232,50
2020-08-06,278,65,213,33
2020-08-07,285,69,216,33
2020-08-08,281,67,214,38
2020-08-09,285,69,216,23
2020-08-10,312,73,239,41
2020-08-11,307,77,230,52
2020-08-12,301,76,225,35
2020-08-13,309,74,235,46
2020-08-14,312,80,232,33
2020-08-15,309,82,227,43
2020-08-16,337,86,251,29
2020-08-17,341,91,250,21
2020-08-18,335,89,246,35
2020-08-19,334,83,251,39
2020-08-20,303,82,221,30
2020-08-21,314,84,230,31
2020-08-22,310,85,225,26
2020-08-23,312,87,225,18
2020-08-24,320,89,231,17
2020-08-25,282,85,197,12
2020-08-26,260,81,179,21
2020-08-27,257,82,175,21
2020-08-28,252,77,175,19
2020-08-29,230,72,158,8
2020-08-30,233,71,162,14
2020-08-31,243,74,169,18
2020-09-01,226,68,158,28
2020-09-02,221,60,161,26
2020-09-03,209,58,151,13
2020-09-04,215,52,163,22
2020-09-05,215,53,162,16
2020-09-06,223,53,170,17
2020-09-07,235,52,183,26
2020-09-08,260,59,201,42
2020-09-09,250,60,190,24
2020-09-10,249,65,184,29
2020-09-11,254,67,187,31
2020-09-12,260,68,192,35
2020-09-13,293,71,222,41
2020-09-14,318,72,246,34
2020-09-15,315,67,248,50
2020-09-16,353,74,279,46
2020-09-17,371,69,302,49
2020-09-18,392,78,314,58
2020-09-19,421,78,343,58
2020-09-20,432,77,355,50
2020-09-21,490,87,403,61
2020-09-22,505,94,411,76
2020-09-23,550,95,455,74
2020-09-24,602,104,498,93
2020-09-25,620,110,510,74
2020-09-26,626,120,506,54
2020-09-27,654,135,519,51
2020-09-28,708,140,568,74
2020-09-29,716,150,566,91
2020-09-30,739,157,582,89
2020-10-01,773,156,617,90
2020-10-02,789,163,626,75
2020-10-03,819,185,634,79
2020-10-04,866,186,680,91
2020-10-05,937,195,742,91
2020-10-06,952,189,763,113
2020-10-07,1050,201,849,145
2020-10-08,1110,213,897,131
2020-10-09,1191,214,977,151
2020-10-10,1260,228,1032,165
2020-10-11,1334,245,1089,141
2020-10-12,1473,268,1205,179
2020-10-13,1622,281,1341,224
2020-10-14,1778,313,1465,266
2020-10-15,1951,327,1624,292
2020-10-16,2099,358,1741,252
2020-10-17,2267,384,1883,365
2020-10-18,2497,412,2085,271
2020-10-19,2773,446,2327,274
2020-10-20,2978,487,2491,428
2020-10-21,3275,525,2750,437
2020-10-22,3649,573,3076,520
2020-10-23,4056,633,3423,617
2020-10-24,4408,694,3714,610
2020-10-25,4825,756,4069,529
2020-10-26,5268,812,4456,545
2020-10-27,5548,912,4636,707
2020-10-28,5924,994,4930,759
2020-10-29,6187,1057,5130,688
2020-10-30,6439,1105,5334,748
2020-10-31,6502,1161,5341,707
2020-11-01,6824,1223,5601,578
2020-11-02,7233,1302,5931,612
2020-11-03,7461,1353,6108,899
2020-11-04,7411,1412,5999,675
2020-11-05,7290,1428,5862,577
2020-11-06,7224,1459,5765,606
2020-11-07,6895,1464,5431,516
2020-11-08,6955,1470,5485,415
2020-11-09,7221,1474,5747,443
2020-11-10,7058,1470,5588,618
2020-11-11,6879,1463,5416,565
2020-11-12,7010,1456,5554,414
2020-11-13,6762,1457,5305,526
2020-11-14,6505,1423,5082,461
2020-11-15,6518,1439,5079,305
2020-11-16,6580,1408,5172,285
2020-11-17,6240,1356,4884,380
2020-11-18,5930,1323,4607,358
2020-11-19,5651,1286,4365,363
2020-11-20,5418,1256,4162,323
2020-11-21,5017,1201,3816,261
2020-11-22,5025,1194,3831,215
2020-11-23,5076,1168,3908,211
2020-11-24,4783,1105,3678,305
2020-11-25,4570,1071,3499,285
