Datum,Vaccinaties (minstens één dosis),Vaccinatiegraad (minstens één dosis),Vaccinatiegraad +18 (minstens één dosis),Vaccinaties (volledig),Vaccinatiegraad (volledig),Vaccinatiegraad +18 (volledig)
2020-12-28,338,0.0,0.0,,,
2020-12-29,374,0.0,0.0,11.0,0.0,0.0
2020-12-30,891,0.01,0.01,21.0,0.0,0.0
2020-12-31,931,0.01,0.01,,,
2021-01-01,945,0.01,0.01,,,
2021-01-02,965,0.01,0.01,34.0,0.0,0.0
2021-01-03,991,0.01,0.01,,,
2021-01-04,1046,0.01,0.01,46.0,0.0,0.0
2021-01-05,2822,0.02,0.03,71.0,0.0,0.0
2021-01-06,6830,0.06,0.07,98.0,0.0,0.0
2021-01-07,15323,0.13,0.17,117.0,0.0,0.0
2021-01-08,24745,0.22,0.27,163.0,0.0,0.0
2021-01-09,28027,0.24,0.31,178.0,0.0,0.0
2021-01-10,28460,0.25,0.31,180.0,0.0,0.0
2021-01-11,34181,0.3,0.37,199.0,0.0,0.0
2021-01-12,50251,0.44,0.55,228.0,0.0,0.0
2021-01-13,72053,0.63,0.78,367.0,0.0,0.0
2021-01-14,95585,0.83,1.04,392.0,0.0,0.0
2021-01-15,119274,1.04,1.3,420.0,0.0,0.0
2021-01-16,124515,1.08,1.36,434.0,0.0,0.0
2021-01-17,127780,1.11,1.39,456.0,0.0,0.0
2021-01-18,138915,1.21,1.51,616.0,0.01,0.01
2021-01-19,158178,1.38,1.72,858.0,0.01,0.01
2021-01-20,179441,1.56,1.95,1348.0,0.01,0.01
2021-01-21,209805,1.83,2.29,1406.0,0.01,0.02
2021-01-22,239983,2.09,2.61,1490.0,0.01,0.02
2021-01-23,248494,2.16,2.71,1511.0,0.01,0.02
2021-01-24,250409,2.18,2.73,1539.0,0.01,0.02
2021-01-25,261852,2.28,2.85,1587.0,0.01,0.02
2021-01-26,273047,2.38,2.97,3389.0,0.03,0.04
2021-01-27,286437,2.49,3.12,6887.0,0.06,0.08
